line,id_point,distance_origin,name_station,elevation,noise,housing_price,census_share_0_18,census_share_18_39,census_share_40_64,census_share_65_100,census_built_a1990,census_built_b1945,census_density,census_income,census_share_poor,census_share_social,city_fiber,city_heritage,city_toilets,city_trees,city_velib,poi_bakery,poi_bank,poi_bar,poi_cafe,poi_clothes,poi_fastfood,poi_hairdresser,poi_hotel,poi_jeweller,poi_kindergarten,poi_nightclub,poi_pharmacy,poi_playground,poi_police,poi_pub,poi_restaurant,poi_school,poi_supermarket,poi_crossing,poi_parking,poi_lamp,historical_rentiers_1829,historical_rentiers_1840,historical_rentiers_1854,historical_rentiers_1885,historical_clothing_1829,historical_clothing_1840,historical_clothing_1854,historical_clothing_1885,historical_food_1829,historical_food_1840,historical_food_1854,historical_food_1885,historical_furniture_1829,historical_furniture_1840,historical_furniture_1854,historical_furniture_1885,historical_luxury_1829,historical_luxury_1840,historical_luxury_1854,historical_luxury_1885
M3,0,0,Pont de Levallois,30.7711902293,55.294117,9392.786955179999,.219222,.314713,.306737,.15775,.292089,.28408,283924,37710,.0758594,.0986898,123.703,13.6786,0,0,43282.7,4.84343,46552.4,6581.15,10834.4,0,75034.5,2916.81,0,0,6477.78,0,21522.6,10545.4,0,0,165877,39833.6,34938.4,1757750,458709,10742.1,,,,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
M3,1,100,,30.8150085802,55.599998,9395.30297852,.219658,.313705,.308123,.157078,.302245,.290913,283257,37737.8,.0759205,.103336,130.2,14.8871,0,0,41962.6,5.6983,46612.3,7016.74,13037.4,0,75478.39999999999,2692.43,0,0,5778.44,0,22786.2,9888.73,0,0,169680,41373.4,37578.1,1802500,466813,10430.2,,,,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
M3,2,200,,31.4807224031,54.415585,9355.656609789999,.217607,.32229,.305526,.153639,.315272,.331841,281588,37519.2,.0809859,.115145,182.376,23.080355,0,0,28952.4,0,46710.9,11403.4,29371.5,0,77563.89999999999,1054.82,0,0,1896.06,0,27089.2,5582.74,0,155.984,180199,56895.6,51569.3,1986300,497186,9182.049999999999,,,,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
M3,3,300,,31.4234230635,56.460674,9330.739691840001,.215436,.331033,.298329,.156216,.303658,.438173,275396,37910.2,.079905,.093234,231.203,36.050667,0,0,13522.2,0,46083.5,18474.7,43213.3,21.9056,78932.3,23.12,0,0,183.477,0,27902.4,1032.02,0,7780.04,185726,67321,57840.3,1986410,457878,7934.54,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M3,4,400,,30.9149845201,57.047245,9280.71782484,.212879,.337423,.295376,.156897,.31509,.461424,271985,39072.9,.0816295,.0889967,284.586,61.136421,0,0,4677,730.223,46956.7,26692.1,49022.7,680.795,78417.3,319.595,0,0,0,0,23595.5,0,0,23310,193703,66392,65064.5,1845780,399456,6319.16,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M3,5,500,,30.8592182636,53.816795,9257.703710940001,.211798,.339478,.295788,.156753,.3036,.470939,267679,38657.4,.0821439,.0943315,362.542,90.277588,0,0,14349.9,15221.9,52027.8,35963.5,49922.3,2691.98,77435.7,13120.1,0,0,0,0,18777,0,0,38016.8,228685,54116.3,76610.39999999999,1664120,384228,4495.69,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M3,6,600,,30.6964683526,54.259258,9185.78927951,.211542,.349242,.292105,.152167,.301699,.514655,267185,38292.9,.0830932,.0877872,465.256,109.4888,0,0,29675.2,48396.8,60026.8,45053.2,66724.60000000001,8462.75,77160.7,42392.7,0,0,0,0,30218.9,0,0,45778.9,268010,38433,92646.5,1589600,443966,2680.91,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M3,7,700,,30.7494273875,54.67857,9138.88085938,.210767,.353734,.291198,.150412,.302386,.535861,264765,38213.4,.08362,.081998,588.575,111.4399,0,0,41395.4,86562.8,69234.60000000001,53408.2,110047,17998,77804.60000000001,70303,0,0,0,0,62548.3,0,0,44004.9,300771,24457,99168,1701920,557242,3456.61,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M3,8,800,Anatole France,31.0499312343,54.732826,9128.34746094,.205343,.371088,.288286,.144353,.260652,.5948830000000001,265527,37847.2,.0889825,.0737021,718.822,96.581543,0,0,46221,110026,78473.8,60220.3,174076,29847.1,78742,89327.10000000001,0,1894.07,0,0,99165.8,0,0,33052.4,347071,9082.67,94468.3,1889960,683760,14778.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M3,9,900,,31.3674457878,54.290539,9130.782519529999,.205539,.371051,.28609,.141544,.259266,.59499,268351,37325.2,.0910567,.100786,839.534,68.65918,0,1871.77,47237.2,114749,87831,64801.4,254742,41748.7,79050,102526,0,12315.3,0,0,151726,0,0,17335.7,406808,1032.14,104283,1973310,781596,38514.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
