line,id_point,distance_origin,name_station,elevation,noise,housing_price,census_share_0_18,census_share_18_39,census_share_40_64,census_share_65_100,census_built_a1990,census_built_b1945,census_density,census_income,census_share_poor,census_share_social,city_fiber,city_heritage,city_toilets,city_trees,city_velib,poi_bakery,poi_bank,poi_bar,poi_cafe,poi_clothes,poi_fastfood,poi_hairdresser,poi_hotel,poi_jeweller,poi_kindergarten,poi_nightclub,poi_pharmacy,poi_playground,poi_police,poi_pub,poi_restaurant,poi_school,poi_supermarket,poi_crossing,poi_parking,poi_lamp,historical_rentiers_1829,historical_rentiers_1840,historical_rentiers_1854,historical_rentiers_1885,historical_clothing_1829,historical_clothing_1840,historical_clothing_1854,historical_clothing_1885,historical_food_1829,historical_food_1840,historical_food_1854,historical_food_1885,historical_furniture_1829,historical_furniture_1840,historical_furniture_1854,historical_furniture_1885,historical_luxury_1829,historical_luxury_1840,historical_luxury_1854,historical_luxury_1885
M4,0,0,Bagneux - Lucie Aubrac,82.4790764528,56.612904,,.253219,.287724,.320151,.137705,.146625,.111817,141611,20305.8,.176312,.749464,315.219,14.2763,,0,4866.43,8447.48,33596,3597.54,0,15530.7,28933.7,57887.8,0,0,4080.69,0,19387.9,22508.1,0,1337.78,63588.7,69176.2,66028.10000000001,764807,131897,1158940,,,,,,,,,,,,,,,,,,,,
M4,1,100,,82.307156226,54.916668,,.247064,.308743,.312043,.131147,.154162,.106863,141924,20475.1,.176245,.7016869999999999,381.82,12.2982,,0,19306.6,275.076,30841.8,5073.01,0,12849.8,28715.1,36422.1,4094.19,0,7152.89,0,32050.4,7282.77,0,0,46224.6,37196.6,38708.1,733961,125739,1090950,,,,,,,,,,,,,,,,,,,,
M4,2,200,,82.7010122006,53.367348,,.243724,.310966,.306033,.133363,.152723,.127434,140759,20515.5,.17515,.671037,437.989,7.5245199,,0,31898,0,28242.7,5841.25,0,10629.9,24271.7,18507.3,10233.3,0,12423.4,0,35488.5,844.08,0,0,30373.4,13354,20994.9,754333,107796,924999,,,,,,,,,,,,,,,,,,,,
M4,3,300,,83.96684998790001,49.166668,,.238839,.317945,.30468,.132625,.178452,.164653,145180,22056,.167798,.603003,497.783,4.2059598,,9304.91,35850.7,0,26853.2,6685.32,0,9860.99,19139.9,5626.65,8769.17,0,20525.1,0,31278.2,0,0,0,13149.3,2028.18,11763.2,820313,72483.10000000001,781768,,,,,,,,,,,,,,,,,,,,
M4,4,400,,84.9304116908,50.17857,,.232086,.327823,.303167,.134481,.171448,.226972,147699,22710.4,.16574,.536635,553.309,7.1001301,,614411,33080.1,0,25754.4,8514.309999999999,0,10978.1,18669.9,16.826,4585,0,31482.6,0,22947.9,0,0,0,3392.35,19.4939,9383.299999999999,939559,33564.4,764669,,,,,,,,,,,,,,,,,,,,
M4,5,500,,85.17152450410001,49.838711,,.232091,.327931,.306347,.134387,.171922,.226967,151529,23278.3,.165693,.5363869999999999,605.622,14.3866,,2538780,24514.7,0,25964,11633.1,0,13683.4,24730.6,1353.88,864.825,0,44258.2,0,14007.3,0,0,0,147.015,0,17771.6,1148510,26542.9,881179,,,,,,,,,,,,,,,,,,,,
M4,6,600,,85.2617582463,51.770832,,.241995,.326748,.306394,.12781,.174568,.203876,156596,23742.6,.162706,.584933,686.221,22.124443,,5429970,12963.7,0,27846.4,15321.1,0,17198,36668.4,11952.1,5358.29,0,57498.2,0,8472.280000000001,0,0,3259.25,172.532,1354.31,27959.3,1380000,55051.2,1116520,,,,,,,,,,,,,,,,,,,,
M4,7,700,,84.8223234214,54.81818,,.240112,.327458,.309338,.127811,.196026,.199126,164351,24670,.158954,.569537,795.833,27.021536,,7666330,5489.97,4383.18,31656.5,18981.3,148.553,21089.7,51507.8,39326.8,18885.3,0,69948,0,4752.45,0,0,15069,15949.4,9647.120000000001,40067.3,1610450,102082,1422030,,,,,,,,,,,,,,,,,,,,
M4,8,800,Barbara,83.9474318784,57.910446,,.245527,.322581,.308929,.12699,.194408,.17888,170675,25032.2,.155834,.601212,959.526,26.272259,,9067450,10394.9,17581.3,38085.8,22428.7,6422.75,25920.7,66706.3,92939,41442.2,0,80337.7,0,12119.6,0,0,29521.4,89627.60000000001,18769.3,56385.7,1880070,154479,1782810,,,,,,,,,,,,,,,,,,,,
M4,9,900,,82.1221492823,55.270271,,.247781,.316966,.307647,.13031,.210226,.124665,185807,26505.8,.143953,.574454,1172.79,17.116201,,11496900,25387.9,47901.7,47005.2,24634,26124.2,31453.9,77303.10000000001,168638,67805.2,416.266,84154,0,38679.7,0,0,40473.8,232926,10564.1,76542.3,2220170,208014,2297710,,,,,,,,,,,,,,,,,,,,
M4,10,1000,,79.2402564434,55.366493,,.236391,.314849,.307012,.145619,.166036,.114682,195573,26331.8,.14559,.54998,1354.77,9.3539267,,11317700,37700.4,80081.60000000001,55825.6,26124.8,48432,36163.5,85459.60000000001,222018,83014.60000000001,4542.72,85062.5,0,63689.5,0,0,43274,373077,1779.83,87585.8,2398760,285539,2783740,,,,,,,,,,,,,,,,,,,,
M4,11,1100,,76.57458577440001,55.689655,,.227247,.303112,.314495,.155922,.193668,.157118,207365,26575.7,.143646,.5197889999999999,1503.39,7.3775449,,6627840,41403.5,107166,65703.5,28235.7,68921,41334.8,96536.2,238747,81065.7,14787,88428,0,75650.10000000001,0,0,43748.3,457605,232.4,77705.89999999999,2428900,365184,3021340,,,,,,,,,,,,,,,,,,,,
M4,12,1200,,75.06290652,54.680851,,.225981,.305361,.312707,.154237,.215821,.203173,214879,27088.3,.136366,.469416,1577.33,9.6860151,,2185830,42130.2,128129,76084.8,31229.6,85366.89999999999,47411.1,109361,232702,65727.8,41289.2,95601,0,71901.39999999999,0,174.269,50884,498088,536.985,58915.3,2371090,419709,2916880,,,,,,,,,,,,,,,,,,,,
M4,13,1300,,74.20397650060001,54.156979,,.218419,.312639,.313676,.152865,.241217,.266664,229551,27736.5,.123187,.399829,1534.74,13.499267,,275608,42767,143100,85305.7,34055.1,89214.5,52711.6,119765,222946,49462.3,82319.7,102110,0,63307.9,0,6762.88,57088.1,503753,2442.99,44355.6,2218790,451239,2602300,,,,,,,,,,,,,,,,,,,,
M4,14,1400,,74.4067265194,53.947369,,.207639,.317207,.315862,.156671,.259082,.356747,239908,28347.9,.113868,.330065,1395.21,16.965408,,619.595,56645.9,157501,92401.7,36472,84409.2,56738.2,126299,226777,40243.6,117787,105154,0,68620.10000000001,0,19389.1,56097.8,496164,3954.25,62204.4,2056890,483544,2198120,,,,,,,,,,,,,,,,,,,,
M4,15,1500,,74.9615485082,55.82317,,.208049,.310354,.315508,.162324,.239788,.364572,245126,28399.9,.117819,.339576,1238.94,21.09523,,0,81847.5,185367,96635.5,38142.7,81838.7,59519.4,129355,251703,47218.7,133259,104162,0,92290.89999999999,0,31021,49715.9,498672,19041.8,99196.39999999999,2002460,514663,1747670,,,,,,,,,,,,,,,,,,,,
