line,id_point,distance_origin,name_station,elevation,noise,housing_price,census_share_0_18,census_share_18_39,census_share_40_64,census_share_65_100,census_built_a1990,census_built_b1945,census_density,census_income,census_share_poor,census_share_social,city_fiber,city_heritage,city_toilets,city_trees,city_velib,poi_bakery,poi_bank,poi_bar,poi_cafe,poi_clothes,poi_fastfood,poi_hairdresser,poi_hotel,poi_jeweller,poi_kindergarten,poi_nightclub,poi_pharmacy,poi_playground,poi_police,poi_pub,poi_restaurant,poi_school,poi_supermarket,poi_crossing,poi_parking,poi_lamp,historical_rentiers_1829,historical_rentiers_1840,historical_rentiers_1854,historical_rentiers_1885,historical_clothing_1829,historical_clothing_1840,historical_clothing_1854,historical_clothing_1885,historical_food_1829,historical_food_1840,historical_food_1854,historical_food_1885,historical_furniture_1829,historical_furniture_1840,historical_furniture_1854,historical_furniture_1885,historical_luxury_1829,historical_luxury_1840,historical_luxury_1854,historical_luxury_1885
M10,0,0,Boulogne - Pont de Saint-Cloud,30.7123818205,60.094341,,.201484,.32044,.310389,.167327,.301732,.269957,127778,38755.3,.0829943,.10599,402.133,19.86866,,0,60459.6,68433.2,45223,1209.81,77247.5,10296.3,87556.89999999999,177649,45946,28706.4,18956.8,0,70241.60000000001,0,0,0,343420,75651.89999999999,88181.10000000001,1762480,209733,720.168,,,,,,,,,,,,,,,,,,,,
M10,1,100,,30.8796164467,59.682541,,.193323,.323021,.308679,.176304,.331702,.27443,129188,39116.1,.0848809,.0717196,484.664,18.642059,,0,46718.9,87081.39999999999,54126.2,3048.56,72689.2,17334.3,106219,205909,34431.8,11167.7,25463.7,0,45217.2,108.938,0,0,431183,71874.39999999999,121963,2025150,252090,130.768,,,,,,,,,,,,,,,,,,,,
M10,2,200,,31.2787854746,59.84127,,.189197,.327836,.309529,.176015,.331352,.295931,129138,39262.2,.0854002,.0620483,591.242,15.294291,,0,41931.8,94069.3,72135.89999999999,6476.15,61465.9,37203.9,132532,199120,14239.8,17230.3,32411.6,0,24533.7,9989.25,0,0,418093,40206.9,154580,2024210,286045,1.15796,,,,,,,,,,,,,,,,,,,,
M10,3,300,,31.4836354079,57.361111,,.188243,.327717,.3111,.176384,.33024,.297171,129667,39483.8,.0855371,.0621417,721.202,10.70359,,0,52363.3,81433.8,98326.5,11242.3,46602,75043.5,170981,152752,476.266,34766.4,38908.2,0,34613.3,26661.6,0,0,337624,17515.5,155519,1833980,327114,0,,,,,,,,,,,,,,,,,,,,
M10,4,400,,31.4515206172,53.913044,,.188435,.326472,.310328,.177623,.320916,.306471,130686,39764.4,.0846046,.0546825,856.864,7.8214302,,0,56255.3,78280.5,125739,15629.2,56315.4,148069,213558,91285.89999999999,0,45348.1,43332.4,0,64599.6,35691.3,0,0,323911,37578.9,127419,1772600,360535,0,,,,,,,,,,,,,,,,,,,,
M10,5,500,,31.8441546047,52.112675,,.185009,.326177,.306166,.18157,.321851,.317609,133686,40353.9,.0848488,.0461931,976.549,8.570838,,0,37769.2,96366.8,147587,18552,91956.3,249793,251718,97285.8,0,77522.7,45931.7,0,98189.8,30887.8,0,0,422390,64456.4,115268,1872980,367776,0,,,,,,,,,,,,,,,,,,,,
M10,6,600,,32.967640362,49.46154,,.184997,.326412,.299323,.181686,.318924,.312315,137789,40415.3,.0843779,.0451902,1071.89,11.924858,,0,25266.7,125465,159623,19527.2,156849,363115,277262,194696,0,118280,45617.8,0,122200,15287.8,0,0,550584,80145.2,137333,2063860,381530,0,,,,,,,,,,,,,,,,,,,,
M10,7,700,,34.3899999883,54.201679,,.185499,.324558,.292599,.18416,.289569,.329938,144001,40335.9,.0856069,.0431083,1144.27,17.014936,,0,50841.3,151899,161477,18002.6,189294,451673,280733,278942,0,142803,42009.7,0,124420,1115.42,0,0,607274,78945.89999999999,162056,2238460,414768,0,,,,,,,,,,,,,,,,,,,,
M10,8,800,Boulogne - Jean Jaurès,35.9973910018,55.735294,,.185677,.322636,.296311,.188859,.245649,.366718,147002,40114.6,.0847823,.032706,1180.78,21.526756,,0,73319.8,158546,155054,14972.8,171486,493074,265017,282538,0,132788,35648.9,0,104198,0,0,0,524036,56047,151432,2155440,470107,0,,,,,,,,,,,,,,,,,,,,
M10,9,900,,37.0899895938,52.042255,,.184731,.316288,.303988,.197629,.245433,.363532,150729,39953.5,.0816201,.0285207,1168.62,23.055042,,0,70524.39999999999,134336,140743,11001,142724,483681,230788,220744,0,82808.39999999999,28012.7,0,70701.60000000001,0,0,0,359130,39174.9,94693.89999999999,1959360,520669,0,,,,,,,,,,,,,,,,,,,,
M10,10,1000,,38.1309754772,52.386364,,.184014,.307129,.308162,.205672,.223732,.375775,155947,40032.9,.0823791,.0266096,1133.94,23.823429,,0,44741.4,107535,118318,7099.8,110546,423376,183739,146176,0,25689.4,20448.9,0,45488.7,0,0,0,251853,37243.3,31826.7,1730030,494603,0,,,,,,,,,,,,,,,,,,,,
M10,11,1100,,39.2376705856,52.013889,,.184765,.30176,.309089,.207268,.214828,.373647,160498,40333.4,.0815305,.025913,1087.66,30.71483,,1289.49,27765.4,75266.39999999999,91311.10000000001,4125.51,87601.8,321074,134324,98194.2,0,1222.46,13713.3,0,44605.1,0,0,0,199665,37381.2,1262.67,1608490,359018,0,,,,,,,,,,,,,,,,,,,,
M10,12,1200,,39.3903965523,53.333332,,.183361,.281476,.310118,.223997,.194241,.360175,163406,41028.4,.0784786,.0319795,1028.19,42.718998,,30037,36072.8,48559,63616.9,1713.37,73643.8,199243,91026.5,88376.2,0,0,8500.41,0,45107.3,0,0,0,197567,39943.1,2208.52,1797880,210900,0,,,,,,,,,,,,,,,,,,,,
M10,13,1300,,38.8635246926,55.119049,,.18219,.275317,.313057,.226123,.18759,.379525,170714,42042,.0788129,.0388767,951.08,58.546402,0,155813,46658.5,35287.1,39993.7,207.012,40234.5,90542.10000000001,56304.8,61497.8,0,0,5097.45,0,33490,0,0,0,172231,37834.4,2503.93,1985410,98551.2,0,,,,,,,,,,,,,,,,,,,,
M10,14,1400,,38.4796991806,54.905659,,.185787,.259538,.316698,.229551,.14581,.411512,173636,42960.7,.0825575,.032813,845.433,74.778198,0,382691,41477.7,13528.4,25848.4,0,8527.49,26820.2,33808.2,22193.8,0,0,2797.22,0,12866.8,0,0,0,93491.89999999999,47655.8,236.775,1928790,33924.1,0,,,,,,,,,,,,,,,,,,,,
M10,15,1500,,38.0729512553,53.333332,,.194222,.245581,.317941,.227824,.0935459,.515985,180898,43482.7,.0864017,.108275,697.473,84.811897,0,1594560,23725.7,1130.62,19771.4,0,0,8077.23,23689.8,1620.89,381.983,0,943.235,0,614.451,0,0,0,32309.6,67588.5,0,1877730,19482.7,0,,,,,,,,,,,,,,,,,,,,
M10,16,1600,,37.4640386985,52.1875,,.194792,.244337,.324984,.22732,.0917399,.526651,188279,43626.8,.0874172,.121223,526.26,83.879402,5011.47,5187160,4524.07,0,14408.8,0,0,3881.39,17751,0,14779.6,0,31.8167,0,0,0,0,0,3839.79,84066.60000000001,0,1809590,34231,0,,,,,,,,,,,,,,,,,,,,
M10,17,1700,,36.7617350878,53.666668,,.200373,.229308,.34028,.228107,.0768528,.601058,199096,43772.5,.0957358,.19532,364.342,71.406296,22554.9,10398700,0,0,10027.5,0,269.948,1649.58,14184.2,0,34937.1,0,0,0,0,0,0,0,0,75956.3,0,1643420,69475,0,,,,,,,,,,,,,,,,,,,,
M10,18,1800,,36.5191652167,53.604652,,.200379,.229308,.346894,.22792,.0768528,.601058,205746,43470.6,.0957358,.195414,243.467,53.333298,41412.9,15986800,.780609,743.437,7945.87,3.01497,7923.93,2332.42,15051.6,0,46269.3,0,0,0,0,0,0,0,0,47613.8,5723.87,1418490,208525,457.03,,,,,,,,,,,,,,,,,,,,
M10,19,1900,,36.6912487192,51.206898,,.198259,.234069,.344736,.226449,.0378506,.6320440000000001,216161,43351.6,.105741,.182489,201.602,38.340599,69044.89999999999,20615000,8770.790000000001,9913.67,10716.4,886.343,18832.9,5646.82,20333.1,0,42150.3,0,0,0,0,0,0,0,3402.41,52888.9,25207.1,1216240,432934,2185.28,,,,,,,,,,,,,,,,,,,,
M10,20,2000,,36.8476254598,56.666668,11428.1850586,.198176,.234651,.339321,.226214,.0356673,.637112,225283,42932.2,.106944,.184466,229.837,28.4673,95511.89999999999,22544600,28035.7,18135.4,17496.3,2841.66,22735.6,9294.32,27396.9,0,26114.5,0,0,0,0,0,0,0,40965.8,87725.2,41409.8,1175450,608708,4475.95,,,,,,,,,,,,,,,,,,,,
M10,21,2100,,37.5419316932,57.222221,12496.6668837,.195739,.239196,.332382,.228607,.0273351,.651244,233218,42362,.108508,.158387,279.196,24.5175,105286,22697700,39420.4,20313.9,22904.9,4704.68,28204.3,12217.3,32541.9,0,12537,0,0,0,873.984,0,0,0,84211.89999999999,112978,45824,1310750,649041,6070.24,,,,,,,,,,,,,,,,,,,,
M10,22,2200,Porte d'Auteuil,38.3239820992,60.394737,12545.5062192,.192726,.249444,.327636,.216194,.0242519,.683804,246761,42496.3,.113197,.147215,412.469,26.86466,92938.7,21513800,52882.3,27428.1,35161.1,8494.549999999999,40447.2,18214.5,40050.5,14941.1,82.0994,0,35.2144,0,15410.3,0,0,0,154629,146012,38503,1655630,606742,8103.88,,,,,,,,,,,,,,,,,,,,
M10,23,2300,,38.7996586227,60,12421.6812066,.189854,.256525,.324491,.214015,.0374149,.680716,258251,43006.1,.111118,.101463,583.338,36.853699,60221.5,20695800,67712.7,43097.2,51180.6,12764.2,49942.2,25969.9,45547.1,67141.8,0,0,498.197,0,45804.9,0,0,0,199164,155634,19112.3,1812980,445091,9383.73,,,,0,,30139.2,48386,13128.1,,,,108487,,,,,,591.899,27074.4,0
M10,24,2400,,38.9024499771,55.208332,11294.2013261,.190367,.261815,.322316,.211784,.0415866,.702725,271265,43136.7,.112473,.0982156,747.192,50.598549,22586.3,19405100,84910.5,56082.3,67697.89999999999,17246.9,56538.1,39064.3,48094.8,110175,0,0,1240.55,0,67202.3,0,0,0,182719,157301,1772.63,1610500,296386,9750.440000000001,,,,0,,62135,129010,29961.8,,,,161592,,,39636.5,,,13864,87490.39999999999,0
M10,25,2500,Michel Ange-Molitor,39.0754514422,53.214287,11354.2012747,.195159,.264081,.324251,.207088,.0435327,.687066,277333,44211.4,.107969,.0231227,867.814,65.064072,12841.1,16557200,84774,61691.7,82098.60000000001,20786.8,46396.7,53388.1,46499.8,118905,6687.64,0,2515.62,0,71069.3,0,0,0,120917,150601,865.838,1285050,271151,9149.370000000001,,,,270.792,,75575.3,180499,44491.4,,45287.4,,180395,,,50080.7,,,32603.2,130295,0
M10,26,2600,,38.9974221424,51.944443,11417.7010634,.18557,.267044,.328477,.213651,.0461439,.66816,288686,44021.1,.116313,.0181746,922.2430000000001,78.346199,5848.5,13688300,78923.60000000001,58398.3,90648.5,22529.5,35466,65161.5,40883.3,99610.8,29282.8,4984.87,4049.91,0,70467.10000000001,0,0,0,84569.89999999999,145520,18919.4,1065580,302844,7672.7,,,,12462.3,,67663.39999999999,181460,45757.1,,44290.8,,149214,,0,46217.1,,,41685.1,141002,18.5678
M10,27,2700,,38.9673517517,50.80357,10728.9630962,.184012,.269569,.333261,.212878,.0499281,.658937,294184,43709.1,.118152,.0268064,906.756,88.185204,89.0887,12306600,75912.8,59516.1,91944.39999999999,22132.7,43253.3,72266.60000000001,32645.3,74859.60000000001,46319.5,23407.4,5228.86,0,87391.10000000001,0,0,0,112044,135164,39734,1069880,301006,5559.09,,425.716,,29563.2,1113.79,40566.3,131571,39036.9,0,27833.5,77317,105998,1194.6,15.3938,51965,12084.8,253.88,35424.5,119019,3296.98
M10,28,2800,,39.1804625406,50.508476,10317.2416992,.186756,.26584,.335581,.215505,.0561323,.6670779999999999,299003,43972.4,.117233,.0159398,832.49,92.531097,14674.1,11823500,72397.10000000001,65520,85553,20531.3,56777.4,73146.89999999999,24343.2,54407.1,51914.3,33035.3,5715.09,0,96279.39999999999,0,0,0,147264,102542,44263.5,1144520,236223,3226.45,,0,,35239.8,1775.38,14528.4,49210.3,39404.9,0,6847.89,121000,85219.3,54.8861,502.91,55236.6,21687.1,1107.71,17663.7,66774.2,8092.11
M10,29,2900,Chardon Lagache,38.817754758,51.666668,10218.9671766,.192617,.264186,.335191,.212707,.0560803,.66047,301533,43652.2,.118613,.0138369,723.889,90.814598,83579.3,14805500,66447.89999999999,70054.39999999999,72696.2,17755.4,58042.7,68639.10000000001,18178.1,51714.6,41574,26872.7,5208.84,0,76520.39999999999,0,0,0,142004,69490.8,25868,1183980,158859,2906.09,,0,0,36097.1,326.411,483.382,1411.38,44366.3,0,0,123033,72032.2,0,1116.73,54556,24717.3,352.279,1951.15,31565,8286.66
M10,30,3000,,37.9253133867,52.35294,10570.8240723,.189527,.263325,.333899,.21648,.0519837,.657096,305500,43668.5,.119188,.0210054,630.732,92.488899,136761,19154300,63210.2,67220.3,59522.4,13523.3,54563.5,63028.9,15028.3,49093.8,21996.8,15438,3794.72,0,42133,0,0,0,145034,58395.5,18387.3,1402850,138180,4280.81,,0,0,30240.7,0,0,.230062,50407.7,0,0,95685.89999999999,59310.6,0,1093.25,47714.8,22494.3,0,0,22345.2,6093.06
M10,31,3100,,36.5447588136,54.347828,11017.4409722,.190564,.26275,.327432,.217887,.0535602,.624105,302938,43389.1,.116858,.0430393,566.027,89.994102,143454,21847900,47626.6,58659.9,47930.2,10366.8,40614.9,53856.6,14296.9,59538.8,3953.78,1758.43,2476.76,0,29799.4,0,0,0,181266,48683.7,35010.4,1757290,210004,6121.98,,0,0,45517.4,0,0,0,50264.6,0,917.229,40644.1,200089,0,108.801,23841.9,17732,0,0,15297.7,1158.25
M10,32,3200,Église d'Auteuil,35.5085211849,52.857143,11540.5609863,.18902,.264866,.322118,.217275,.0506371,.592089,299347,42507.4,.117895,.0719067,526.8390000000001,81.081299,108067,22196400,37498.2,50315.3,40734.4,9207.870000000001,42329,41770.7,16631.9,63204.3,1260.27,0,1122.65,0,58295.2,0,0,0,216598,46614.8,63956.8,1991210,299248,7840.72,,0,0,90462.10000000001,0,0,0,71695.8,0,17370.9,7001.83,532493,0,0,1633.21,21229.9,0,0,20497.5,0
M10,33,3300,,34.0608244044,53.455883,11466.8223805,.186712,.263841,.320971,.21835,.0619204,.590414,294470,42747.6,.116043,.0655861,516.942,70.2089,72318.7,20511100,40437.7,52867.1,37225.8,9520.129999999999,48655.9,31311.5,22358.2,62667,2977.77,0,290.04,0,81499.7,0,0,0,234431,41612,87114.39999999999,2088230,344502,9003.32,,0,0,118400,0,0,0,100732,814.659,31965.2,5586.14,726163,0,915.811,0,28089.4,0,0,26896.5,0
M10,34,3400,Mirabeau,32.5979054374,55,10249.237576,.186673,.263312,.322431,.216976,.0754979,.543558,291481,42258.3,.116493,.0858171,514.169,57.136898,48456.7,17408100,51441.1,44981.2,36162.8,11049,48974,19809,32001.8,45594.2,2591.5,0,0,0,89937.3,0,0,0,209979,32596.8,100842,2070050,367464,9628.290000000001,,0,0,113840,0,0,0,118947,12713.4,36071.1,3679.06,712362,0,12694.5,.070173,27354.6,0,0,34609.5,622.675
