line,id_point,distance_origin,name_station,elevation,noise,housing_price,census_share_0_18,census_share_18_39,census_share_40_64,census_share_65_100,census_built_a1990,census_built_b1945,census_density,census_income,census_share_poor,census_share_social,city_fiber,city_heritage,city_toilets,city_trees,city_velib,poi_bakery,poi_bank,poi_bar,poi_cafe,poi_clothes,poi_fastfood,poi_hairdresser,poi_hotel,poi_jeweller,poi_kindergarten,poi_nightclub,poi_pharmacy,poi_playground,poi_police,poi_pub,poi_restaurant,poi_school,poi_supermarket,poi_crossing,poi_parking,poi_lamp,historical_rentiers_1829,historical_rentiers_1840,historical_rentiers_1854,historical_rentiers_1885,historical_clothing_1829,historical_clothing_1840,historical_clothing_1854,historical_clothing_1885,historical_food_1829,historical_food_1840,historical_food_1854,historical_food_1885,historical_furniture_1829,historical_furniture_1840,historical_furniture_1854,historical_furniture_1885,historical_luxury_1829,historical_luxury_1840,historical_luxury_1854,historical_luxury_1885
M6,0,0,Charles De Gaulle-Étoile,55.878900466,55.714287,13364.5462582,.157546,.314918,.347903,.193072,.0443577,.841629,269045,41905.7,.152093,.00724272,791.675,70.4972,80962.39999999999,23530000,149895,59623.7,100636,51740.2,236918,230194,147113,35351.1,239713,43501.9,18369.9,37713.2,137501,0,0,25872.1,853071,6970.57,38363.6,3246610,245009,190806,131313,64436.6,245636,523686,367473,1045070,2030080,559814,456805,403270,645210,1638670,49590.6,145500,554106,286425,52172.4,150843,155315,96636.8
M6,1,100,,57.4808003602,71.666664,14840.0947266,.163915,.299814,.348951,.20231,.0345435,.842544,265605,42001.2,.157736,.00268572,698.692,83.296204,79126,25267200,131027,31307.2,90992.7,49303.5,184566,205089,141809,31247.2,195207,38965.4,17476.4,53209.6,136060,0,0,18695.5,747974,9471.75,23944.2,3542480,165178,184608,121741,64433.7,253176,634193,328139,920914,1704610,545375,466062,379463,589498,1547160,58020.9,122399,505361,236332,62567.6,158256,142808,105489
M6,2,200,,57.3394989957,68.75,15070.4671387,.163086,.296532,.351489,.205684,.0380669,.833128,263550,42187.2,.160842,.0013879,661.783,94.742897,62778,24458200,105879,19303,84993.39999999999,44876,138772,173943,136152,23543,159626,23407,15768.8,63789.4,138324,0,0,8454.889999999999,599007,8302.73,18443.8,3608110,117316,167698,105000,59550.1,231791,729910,255604,723853,1164800,662828,421007,300806,494213,1746450,65037,99673.89999999999,387852,217832,82866.39999999999,139099,124658,106447
M6,3,300,,57.7650742154,55,14076.6345215,.164163,.277119,.34697,.217521,.0522354,.782816,258092,42847.5,.168153,0,703.046,103.5102,39961.1,21338700,83245.5,23295.3,82864.89999999999,39797.7,99078.39999999999,140195,133062,12452,147374,6907.64,13380.5,60869.3,139852,0,0,721.151,479149,6207.79,16317.9,3410060,138971,142276,82940.10000000001,50467.8,192159,774496,179103,507821,613154,783956,328033,196013,374769,2043780,64818.8,85477.89999999999,238523,211033,94917,106304,100010,97741.3
M6,4,400,Kléber,59.531610958,54.358974,13234.8700087,.170447,.279093,.330681,.217311,.0376988,.801063,255155,42841.8,.164951,0,800.3819999999999,108.8562,28561.4,17330400,76790,34518.6,85529.3,34985.4,114252,106947,132171,3105.27,164753,203.932,10530.6,45067.8,135709,0,0,0,396488,17524.6,9515.75,3158600,212039,111025,64368.8,42066.3,170767,779980,140946,372494,328246,868856,229922,104030,290902,2395520,59705.3,84380.8,127322,200252,93329.60000000001,76462.10000000001,83159.2,87235.60000000001
M6,5,500,,60.4073069553,53,12835.4797492,.172756,.273001,.323611,.215833,.058795,.752402,248475,43726.5,.159959,.00579052,900.867,112.6797,31739.8,13599600,82734,41321.8,96195.39999999999,30071,162935,79784.60000000001,132571,0,186488,584.3680000000001,7483.7,22026.9,124560,0,0,0,345624,49785.1,2654.21,2887370,275284,77029.39999999999,49610.3,29867.5,158361,741443,112225,277871,246191,875726,166268,48693.9,242543,2661670,50783,71048.8,69224.39999999999,186868,81559.10000000001,57546.1,68000.2,75976.60000000001
M6,6,600,,60.4338055492,49.625,12355.2652344,.172864,.276063,.324458,.212467,.0843077,.772528,238567,44319.9,.159868,.00698194,969.955,117.9834,38416,10362700,90738.2,41519.5,111811,25659.8,224485,67404.39999999999,133190,0,200029,3829.68,4717.91,3500.51,115525,0,0,0,350566,86546.8,71.99890000000001,2619730,321529,45403.4,34051.6,14142.6,139692,655919,65405.2,183517,164836,773098,110751,18423.1,180008,2659820,33652.9,45700.1,42682.8,160246,60666.1,39048.9,42474.3,51770.8
M6,7,700,,60.1116678241,51.132076,12482.0787418,.176033,.277045,.326777,.210616,.101617,.749882,239811,44781.3,.161291,.00903097,1008.11,121.2816,35790.9,8164470,91304.60000000001,35791.9,127869,22190.7,281091,66336,134300,63.5653,200359,6235.49,2689.28,0,113817,0,2597.12,0,412792,114007,1701.29,2525050,351336,20660.9,17832.6,3011.2,108566,562758,20715,112485,77944.60000000001,595991,51928.5,14185.9,104117,2367940,17177.8,18696.7,18184.8,127689,31725.4,27401.3,17163.7,22209.4
M6,8,800,,59.830407853,50.714287,12213.4721392,.184852,.274538,.328768,.204983,.101026,.752768,233958,45176.7,.159403,.00970537,1028.98,120.5134,22778.2,6577710,90900.60000000001,35696.7,141903,20234.8,323273,70666.5,136992,7363.16,195595,8662.870000000001,1184.64,0,128478,0,13807.5,12.2557,527943,121455,13191.1,2569240,383463,6011.69,5334.36,6339.79,87171.2,537314,2114.32,64622.8,59660,487260,13511.9,47418.3,60721.7,2246790,4249.25,15431,28304.2,133254,6587.62,25806.3,20595.8,2226.4
M6,9,900,,59.6517110008,50.581394,11732.3134766,.185267,.274697,.329552,.203737,.103024,.730154,231917,45439.6,.159989,.0139816,1035.12,113.1686,8155.13,5880670,87102.10000000001,43570.4,151586,18852.2,344175,77786.10000000001,140109,22363,201913,15519.4,217.464,0,144826,0,26993.4,6775.19,648558,122605,32350.4,2568450,389152,597.729,12963.2,11690.4,82692.7,568852,12931.5,41210,120832,561454,3762.11,86711.5,85971,2664110,.435889,31132.8,70972.39999999999,195873,6.83909,28908.6,57363.9,0
