line,id_point,distance_origin,name_station,elevation,noise,housing_price,census_share_0_18,census_share_18_39,census_share_40_64,census_share_65_100,census_built_a1990,census_built_b1945,census_density,census_income,census_share_poor,census_share_social,city_fiber,city_heritage,city_toilets,city_trees,city_velib,poi_bakery,poi_bank,poi_bar,poi_cafe,poi_clothes,poi_fastfood,poi_hairdresser,poi_hotel,poi_jeweller,poi_kindergarten,poi_nightclub,poi_pharmacy,poi_playground,poi_police,poi_pub,poi_restaurant,poi_school,poi_supermarket,poi_crossing,poi_parking,poi_lamp,historical_rentiers_1829,historical_rentiers_1840,historical_rentiers_1854,historical_rentiers_1885,historical_clothing_1829,historical_clothing_1840,historical_clothing_1854,historical_clothing_1885,historical_food_1829,historical_food_1840,historical_food_1854,historical_food_1885,historical_furniture_1829,historical_furniture_1840,historical_furniture_1854,historical_furniture_1885,historical_luxury_1829,historical_luxury_1840,historical_luxury_1854,historical_luxury_1885
M11,0,0,Châtelet,35.6471640175,70.909088,11923.9271176,.122712,.329674,.336193,.212874,.129096,.804135,432248,37221.5,.138899,.149993,622.492,381.461,259595,19683200,191716,149416,121226,429092,1134340,1046100,535322,107206,242735,107563,7960.49,85039.89999999999,74408,12812.7,23337,266920,1601950,2.44476,55639.6,3328530,791760,1371200,805132,845852,649381,683270,3335860,8045100,6900040,3454850,3777990,6686200,7520560,4933840,1276340,2626900,1825120,696314,1972280,2555190,2290070,603305
M11,1,100,,35.4188190435,61.153847,13144.0188477,.126101,.327113,.342767,.202327,.163893,.749455,438845,36654.1,.149152,.189214,618.978,320.50729,257583,16647400,184429,197507,123103,404951,1006080,1050880,526195,56305.3,161929,108944,7048.88,45859.5,79202.5,104.08,5369.36,186519,1528160,4340.26,86157.3,2979750,705320,1034240,786280,700168,455122,460334,2627690,6784670,5021160,3459630,4166190,7777150,7420700,5121910,1322460,2721510,1614940,797853,1895880,2816860,2062440,554477
M11,2,200,Hôtel de Ville,34.9717427804,57.708332,13924.2311006,.129817,.315915,.34497,.204966,.153141,.72298,447633,37353.3,.141977,.191665,733.829,310.23929,217306,11963500,189192,247404,130596,399716,816152,1182100,542058,30706.3,142775,108198,7959.89,11973.6,100654,0,0,99389.8,1675720,21025.8,121351,2744270,893805,749700,800735,720784,327510,340639,2398680,6790880,4624830,4149140,4528710,9022640,8007940,6270940,1336920,2869270,1479290,961414,1959060,3516450,2111160,704528
M11,3,300,,35.8547417769,54.25,14474.9410979,.137316,.321292,.350644,.187291,.151502,.754925,456493,35157.1,.148659,.222236,937.489,369.06119,192854,9467240,207173,276749,146511,427560,822954,1375950,603131,39428.3,165583,146494,11089.6,2759.41,161223,200.175,0,72297.8,2089030,41531.4,172235,2615700,1233100,607780,841676,833076,340768,321175,2564030,7391310,5793300,5230640,4794590,9807000,9121870,7829600,1317410,3042020,1857900,1194130,2230870,4296390,3114020,1112550
M11,4,400,,36.3393638038,53.709679,14069.2077508,.136786,.326047,.35047,.184443,.139041,.766686,463752,35524,.146596,.205813,1113.57,459.31229,186601,8196630,209685,298322,164444,473641,944043,1520050,678180,77143.2,163357,195567,15246.3,728.527,217237,2529.96,447.999,72595.3,2493380,66103.89999999999,213916,2397860,1498310,530160,816716,918789,440694,308163,2755650,7985320,8499080,6540450,4651250,9486930,10153700,9328090,1272880,3166960,2800870,1531600,2598290,4961660,5174270,1762530
M11,5,500,,35.5464655291,50.925926,12872.2230674,.135262,.336592,.349805,.178189,.117352,.788652,473763,35871,.143697,.176459,1220.3,533.54401,177586,7959130,193011,290747,177279,513176,1019090,1600790,730911,150652,134421,234649,19145.2,3822.75,260615,13888.3,6516.05,73361.60000000001,2662080,88806.8,237150,2209050,1663270,448404,736119,943015,540390,304164,2741650,8125540,11571100,7614200,3907670,8003560,10586000,10108400,1201750,3282530,4160420,1966240,2727530,5473000,7749480,2503150
M11,6,600,,35.2321653811,50.833332,12432.0420496,.132663,.350675,.350285,.16809,.112479,.794171,485466,35897.5,.147354,.146952,1267.39,588.94702,169865,8559630,170668,262250,183450,536700,1044370,1612410,755827,232429,94728.3,268975,22460.5,10978.1,281316,27997.3,16055.7,84778,2565320,101965,232932,2172950,1759320,368256,676402,951369,674172,400602,2719310,8128880,14625500,8639760,3016300,6187530,10776400,10551400,1309660,3882110,6196440,2959580,2853410,6176590,10456800,3472230
M11,7,700,Rambuteau,35.6691276221,52.786884,12875.2479384,.134317,.354484,.349495,.161454,.117091,.796488,497001,35750.6,.148715,.142756,1305.42,631.69501,155042,8904350,154426,235210,184720,542142,1068790,1556110,755171,313184,61324.6,293628,24857.5,16730.7,276844,38887.3,23348.6,110106,2490070,97455.2,229780,2366810,1793400,298112,704572,1031900,895581,603661,3069640,9065880,18206200,10174600,2612940,5099010,11222900,11578700,1879430,5779660,9655610,4913880,3756040,8045580,13508900,4986940
M11,8,800,,35.2384419236,52.822582,12585.6233398,.140504,.359691,.345717,.149613,.125367,.794218,508265,35847.2,.142209,.133901,1354.92,657.79602,132682,8821160,142889,216377,182925,531460,1082780,1441860,735991,389179,58271.8,308841,25976.4,25336.1,252948,42927.5,25291.6,129299,2531920,77485.60000000001,260144,2781280,1735010,235350,789989,1154560,1178520,860089,3849240,11284800,22140300,12058800,2931660,5426280,12256900,13116000,2871370,8899410,13967700,7300310,5349490,11227200,16592300,6836720
M11,9,900,,34.9099273748,51.62162,12689.4079975,.138042,.36947,.340874,.145333,.137469,.78685,522133,35770.6,.143881,.109606,1395.34,669.74896,111587,8456910,134422,189366,179088,508014,1024660,1284740,704967,443123,96509.39999999999,343470,25638.6,34540.5,208297,40407.9,21178.1,123041,2627850,58139.2,295854,3275760,1569450,179621,864780,1251260,1424680,1105520,4661410,13347700,24624400,13415700,3440100,6381350,13050700,14392500,3798710,11710200,17224900,9130830,6746380,14059200,18305100,8335270
